Date,MD confirmed,ME confirmed,MD deaths,ME deaths
2020-10-23,138691,6095,4131,146
2020-10-24,139487,6137,4140,146
2020-10-25,140279,6201,4153,146
2020-10-26,140844,6254,4156,146
2020-10-27,141741,6311,4162,146
2020-10-28,142425,6385,4171,146
2020-10-29,143387,6465,4179,146
2020-10-30,144314,6569,4189,146
2020-10-31,145281,6667,4198,147
2020-11-01,146145,6715,4208,147
2020-11-02,146994,6799,4211,148
2020-11-03,147766,6926,4217,148
2020-11-04,148766,7283,4223,150
2020-11-05,149964,7464,4233,150
2020-11-06,151505,7600,4244,150
2020-11-07,152915,7693,4254,152
2020-11-08,153996,7720,4261,152
2020-11-09,155371,8060,4269,156
2020-11-10,156709,8186,4279,160
2020-11-11,158423,8394,4295,161
2020-11-12,159900,8639,4310,162
2020-11-13,161769,8791,4320,163
2020-11-14,164090,8942,4334,163
2020-11-15,165930,9117,4355,165
2020-11-16,167656,9363,4362,166
2020-11-17,169804,9519,4379,170
2020-11-18,171823,9733,4399,171
2020-11-19,174733,9958,4418,172
2020-11-20,177086,10123,4436,174
2020-11-21,179971,10359,4464,176
2020-11-22,182131,10544,4475,177
2020-11-23,183797,10799,4493,189
2020-11-24,185464,11026,4519,190
2020-11-25,188161,11264,4541,190
2020-11-26,190480,11264,4582,190
2020-11-27,192858,11264,4597,190
2020-11-28,194448,11508,4625,191
2020-11-29,196447,11757,4646,194
2020-11-30,198370,11982,4664,214
2020-12-01,201135,12208,4695,218
2020-12-02,203355,12552,4737,220
2020-12-03,205399,12843,4788,224
2020-12-04,209191,12843,4830,224
2020-12-05,212384,13126,4846,226
2020-12-06,215027,13348,4869,227
2020-12-07,217329,13775,4892,227
2020-12-08,219961,13775,4934,227
2020-12-09,222653,14454,4987,246
2020-12-10,225855,14861,5029,246
2020-12-11,228471,15206,5075,250
2020-12-12,232009,15620,5122,257
2020-12-13,234647,15923,5153,257
2020-12-14,236961,16349,5169,259
2020-12-15,239362,16760,5222,265
2020-12-16,241767,17311,5285,267
2020-12-17,243984,17901,5333,276
2020-12-18,246553,18337,5380,281
2020-12-19,248754,18738,5427,292
2020-12-20,250808,18946,5469,292
2020-12-21,253073,19285,5504,293
2020-12-22,255397,19743,5541,303
2020-12-23,257862,20491,5586,311
2020-12-24,260728,21226,5637,317
2020-12-25,263160,21547,5681,319
2020-12-26,265440,21547,5707,319
2020-12-27,267198,21880,5728,323
2020-12-28,269183,22319,5753,326
2020-12-29,271061,22319,5793,326
2020-12-30,273689,23499,5853,334
2020-12-31,276662,24197,5905,347
2021-01-01,280219,24902,5952,352
2021-01-02,283171,25560,5982,435
2021-01-03,285319,25937,6012,439
2021-01-04,287802,26530,6030,444
2021-01-05,289758,27055,6073,453
2021-01-06,292904,27590,6129,461
2021-01-07,295874,28378,6175,466
2021-01-08,299606,28992,6234,472
2021-01-09,303364,29270,6269,477
2021-01-10,306674,29582,6295,480
2021-01-11,309686,30298,6317,489
2021-01-12,312351,31127,6363,502
2021-01-13,314867,31932,6414,509
2021-01-14,317815,32757,6457,519
2021-01-15,320739,33196,6505,531
2021-01-16,324031,33534,6540,539
2021-01-17,326445,33852,6558,547
2021-01-18,328214,34245,6602,555
2021-01-19,330186,34948,6643,560
2021-01-20,332353,35621,6705,568
2021-01-21,334519,36261,6752,577
2021-01-22,336915,36588,6811,583
2021-01-23,339307,36776,6849,591
2021-01-24,341452,37036,6885,601
2021-01-25,343138,37695,6912,610
2021-01-26,344620,38154,6960,614
2021-01-27,346559,38440,7013,617
2021-01-28,348749,38801,7052,621
2021-01-29,350629,39156,7097,625
2021-01-30,352726,39314,7135,627
2021-01-31,354473,39534,7151,627
2021-02-01,355636,39953,7107,628
2021-02-02,356541,40228,7124,629
2021-02-03,357483,40532,7174,630
2021-02-04,359037,40799,7203,632
2021-02-05,360584,40799,7242,632
